ANNOTATIONSESSIONID,ANNOTATORID,CHARUID,FIXATIONUID,READERUID,TEXTLANG,TEXTUID
155,60,6039,851791,3,en,7
155,60,5710,851720,3,en,7
155,60,5590,851689,3,en,7
155,60,5945,851752,3,en,7
155,60,5894,851761,3,en,7
155,60,6063,851798,3,en,7
155,60,5601,851691,3,en,7
155,60,6221,851835,3,en,7
155,60,5806,851744,3,en,7
155,60,5627,851698,3,en,7
155,60,5837,851728,3,en,7
133,48,3403,803211,98,en,4
133,48,3732,803335,98,en,4
133,48,3708,803317,98,en,4
133,48,2938,803019,98,en,4
133,48,3482,803278,98,en,4
133,48,3508,803281,98,en,4
133,48,3730,803327,98,en,4
133,48,3605,803298,98,en,4
133,48,3427,803217,98,en,4
133,48,2993,803064,98,en,4
133,48,3854,803380,98,en,4
133,48,3537,803240,98,en,4
133,48,3002,803041,98,en,4
133,48,3636,803356,98,en,4
133,48,3125,803090,98,en,4
133,48,3600,803266,98,en,4
133,48,3255,803128,98,en,4
133,48,3242,803173,98,en,4
133,48,3595,803292,98,en,4
133,48,3768,803365,98,en,4
133,48,3377,803204,98,en,4
133,48,2876,803013,98,en,4
133,48,2916,803006,98,en,4
133,48,3341,803191,98,en,4
133,48,3317,803168,98,en,4
133,48,3737,803361,98,en,4
133,48,3072,803075,98,en,4
133,48,2875,802994,98,en,4
133,48,3589,803291,98,en,4
133,48,2972,803025,98,en,4
133,48,3738,803336,98,en,4
133,48,3594,803254,98,en,4
133,48,3190,803108,98,en,4
133,48,3327,803145,98,en,4
133,48,3342,803152,98,en,4
133,48,3338,803151,98,en,4
133,48,3599,803295,98,en,4
133,48,3217,803113,98,en,4
133,48,3576,803289,98,en,4
133,48,3291,803181,98,en,4
133,48,3200,803109,98,en,4
133,48,3155,803099,98,en,4
133,48,3376,803200,98,en,4
133,48,3295,803137,98,en,4
133,48,3781,803349,98,en,4
133,48,3815,803373,98,en,4
133,48,3033,803068,98,en,4
133,48,3517,803236,98,en,4
133,48,3579,803248,98,en,4
133,48,2878,802989,98,en,4
133,48,3499,803232,98,en,4
133,48,3479,803227,98,en,4
133,48,2914,803003,98,en,4
133,48,3257,803155,98,en,4
133,48,3478,803277,98,en,4
133,48,3223,803116,98,en,4
133,48,3328,803255,98,en,4
133,48,3625,803301,98,en,4
133,48,3056,803051,98,en,4
133,48,3617,803300,98,en,4
133,48,3408,803210,98,en,4
133,48,2952,803021,98,en,4
133,48,3773,803340,98,en,4
133,48,3812,803355,98,en,4
133,48,3613,803299,98,en,4
133,48,2893,802993,98,en,4
133,48,3001,803042,98,en,4
133,48,2925,803000,98,en,4
133,48,3554,803242,98,en,4
133,48,3015,803043,98,en,4
133,48,3007,803066,98,en,4
133,48,3064,803076,98,en,4
133,48,3612,803297,98,en,4
133,48,2917,803016,98,en,4
133,48,3863,803381,98,en,4
133,48,2901,802997,98,en,4
133,48,2917,803004,98,en,4
133,48,2930,803018,98,en,4
133,48,3460,803223,98,en,4
133,48,3094,803083,98,en,4
133,48,3009,803039,98,en,4
133,48,3799,803345,98,en,4
133,48,2917,802999,98,en,4
133,48,3075,803079,98,en,4
133,48,3320,803167,98,en,4
133,48,3037,803048,98,en,4
133,48,3714,803328,98,en,4
133,48,3838,803377,98,en,4
133,48,3361,803198,98,en,4
133,48,3764,803333,98,en,4
133,48,3591,803252,98,en,4
133,48,3248,803124,98,en,4
133,48,2873,802988,98,en,4
133,48,3329,803184,98,en,4
133,48,3279,803180,98,en,4
133,48,3313,803147,98,en,4
133,48,3554,803287,98,en,4
133,48,3569,803245,98,en,4
133,48,3496,803249,98,en,4
133,48,3053,803050,98,en,4
133,48,3492,803231,98,en,4
133,48,3593,803264,98,en,4
133,48,3263,803178,98,en,4
133,48,2925,803017,98,en,4
133,48,3425,803216,98,en,4
133,48,3232,803170,98,en,4
133,48,3590,803251,98,en,4
133,48,3029,803148,98,en,4
133,48,3300,803163,98,en,4
133,48,3015,803040,98,en,4
133,48,3277,803158,98,en,4
133,48,3680,803312,98,en,4
133,48,3441,803218,98,en,4
133,48,3328,803144,98,en,4
133,48,3332,803256,98,en,4
133,48,3339,803257,98,en,4
133,48,3107,803087,98,en,4
133,48,3301,803161,98,en,4
133,48,3183,803106,98,en,4
133,48,3545,803274,98,en,4
133,48,2959,803057,98,en,4
133,48,3543,803286,98,en,4
133,48,2918,803005,98,en,4
133,48,3031,803045,98,en,4
133,48,2990,803060,98,en,4
133,48,3115,803086,98,en,4
133,48,3241,803172,98,en,4
133,48,3336,803186,98,en,4
133,48,3191,803107,98,en,4
133,48,3060,803074,98,en,4
133,48,2874,802995,98,en,4
133,48,3729,803330,98,en,4
133,48,3043,803055,98,en,4
133,48,3083,803081,98,en,4
133,48,3072,803077,98,en,4
133,48,3207,803112,98,en,4
133,48,3722,803325,98,en,4
133,48,3435,803219,98,en,4
133,48,3050,803056,98,en,4
133,48,3716,803318,98,en,4
133,48,3054,803072,98,en,4
133,48,3341,803190,98,en,4
133,48,3153,803098,98,en,4
133,48,3143,803093,98,en,4
133,48,2907,803015,98,en,4
133,48,3087,803082,98,en,4
133,48,3643,803305,98,en,4
133,48,3266,803131,98,en,4
133,48,3833,803354,98,en,4
133,48,3572,803246,98,en,4
133,48,3319,803141,98,en,4
133,48,3230,803149,98,en,4
133,48,3495,803279,98,en,4
133,48,3465,803224,98,en,4
133,48,3361,803196,98,en,4
133,48,3325,803169,98,en,4
133,48,3491,803230,98,en,4
133,48,3169,803100,98,en,4
133,48,3369,803199,98,en,4
133,48,2897,803010,98,en,4
133,48,3132,803091,98,en,4
133,48,3558,803244,98,en,4
133,48,2968,803026,98,en,4
133,48,3668,803309,98,en,4
133,48,3219,803115,98,en,4
133,48,3267,803133,98,en,4
133,48,3752,803337,98,en,4
133,48,3774,803348,98,en,4
133,48,3498,803280,98,en,4
133,48,3628,803302,98,en,4
133,48,3528,803239,98,en,4
133,48,3241,803121,98,en,4
133,48,3053,803071,98,en,4
133,48,2985,803029,98,en,4
133,48,2989,803065,98,en,4
133,48,2994,803030,98,en,4
133,48,3228,803171,98,en,4
133,48,3607,803296,98,en,4
133,48,3140,803092,98,en,4
133,48,3272,803179,98,en,4
133,48,2896,803014,98,en,4
133,48,3662,803308,98,en,4
133,48,3256,803175,98,en,4
133,48,3781,803370,98,en,4
133,48,3597,803267,98,en,4
133,48,3733,803359,98,en,4
133,48,3836,803379,98,en,4
133,48,3289,803165,98,en,4
133,48,3581,803247,98,en,4
133,48,3258,803153,98,en,4
133,48,2877,802990,98,en,4
133,48,2958,803023,98,en,4
133,48,3357,803197,98,en,4
133,48,3385,803205,98,en,4
133,48,3389,803262,98,en,4
133,48,3077,803078,98,en,4
133,48,3544,803241,98,en,4
133,48,2890,803007,98,en,4
133,48,3617,803351,98,en,4
133,48,3294,803160,98,en,4
133,48,3737,803334,98,en,4
133,48,3473,803225,98,en,4
133,48,3742,803362,98,en,4
133,48,3233,803119,98,en,4
133,48,3480,803226,98,en,4
133,48,3290,803136,98,en,4
133,48,2959,803054,98,en,4
133,48,3027,803046,98,en,4
133,48,3754,803363,98,en,4
133,48,3042,803069,98,en,4
133,48,3665,803311,98,en,4
133,48,3493,803229,98,en,4
133,48,3647,803306,98,en,4
133,48,3766,803339,98,en,4
133,48,3329,803185,98,en,4
133,48,3173,803104,98,en,4
133,48,3357,803195,98,en,4
133,48,3055,803073,98,en,4
133,48,3765,803347,98,en,4
133,48,2992,803031,98,en,4
133,48,3416,803214,98,en,4
133,48,3251,803127,98,en,4
133,48,3823,803376,98,en,4
133,48,3798,803372,98,en,4
133,48,3253,803126,98,en,4
133,48,2906,802998,98,en,4
133,48,3346,803259,98,en,4
133,48,3333,803146,98,en,4
133,48,3657,803307,98,en,4
133,48,2885,803012,98,en,4
133,48,2969,803036,98,en,4
133,48,3592,803253,98,en,4
133,48,3448,803222,98,en,4
133,48,3635,803303,98,en,4
133,48,3807,803374,98,en,4
133,48,3610,803270,98,en,4
133,48,3725,803324,98,en,4
133,48,2999,803037,98,en,4
133,48,3018,803052,98,en,4
133,48,3260,803129,98,en,4
133,48,3771,803342,98,en,4
133,48,3588,803265,98,en,4
133,48,3045,803049,98,en,4
133,48,3716,803329,98,en,4
133,48,3721,803321,98,en,4
133,48,3506,803233,98,en,4
133,48,2895,802996,98,en,4
133,48,3271,803157,98,en,4
133,48,3196,803110,98,en,4
133,48,3239,803120,98,en,4
133,48,3741,803332,98,en,4
133,48,3149,803097,98,en,4
133,48,3251,803176,98,en,4
133,48,3627,803352,98,en,4
133,48,3758,803338,98,en,4
133,48,3447,803238,98,en,4
133,48,3411,803213,98,en,4
133,48,3578,803263,98,en,4
133,48,3536,803271,98,en,4
133,48,3038,803070,98,en,4
133,48,3275,803134,98,en,4
133,48,3053,803053,98,en,4
133,48,3347,803193,98,en,4
133,48,3023,803044,98,en,4
133,48,3261,803132,98,en,4
133,48,3689,803313,98,en,4
133,48,3162,803102,98,en,4
133,48,2950,803022,98,en,4
133,48,3113,803088,98,en,4
133,48,2877,803008,98,en,4
133,48,3600,803269,98,en,4
133,48,3598,803293,98,en,4
133,48,3563,803288,98,en,4
133,48,3460,803276,98,en,4
133,48,3269,803130,98,en,4
133,48,3301,803138,98,en,4
133,48,3210,803089,98,en,4
133,48,3104,803084,98,en,4
133,48,3258,803177,98,en,4
133,48,3245,803122,98,en,4
133,48,3446,803220,98,en,4
133,48,3512,803235,98,en,4
133,48,3205,803111,98,en,4
133,48,3368,803203,98,en,4
133,48,3521,803237,98,en,4
133,48,3723,803320,98,en,4
133,48,2960,803024,98,en,4
133,48,3772,803366,98,en,4
133,48,3309,803164,98,en,4
133,48,2987,803063,98,en,4
133,48,3102,803085,98,en,4
133,48,3354,803201,98,en,4
133,48,3552,803243,98,en,4
133,48,3562,803283,98,en,4
133,48,3081,803080,98,en,4
133,48,3750,803364,98,en,4
133,48,3730,803360,98,en,4
133,48,3215,803114,98,en,4
133,48,3776,803367,98,en,4
133,48,3697,803314,98,en,4
133,48,2975,803034,98,en,4
133,48,3716,803323,98,en,4
133,48,3661,803358,98,en,4
133,48,3332,803150,98,en,4
133,48,3251,803154,98,en,4
133,48,3508,803234,98,en,4
133,48,3711,803319,98,en,4
133,48,3677,803310,98,en,4
133,48,3021,803067,98,en,4
133,48,3004,803038,98,en,4
133,48,2946,803020,98,en,4
133,48,3306,803139,98,en,4
133,48,2982,803058,98,en,4
133,48,2916,803001,98,en,4
133,48,3355,803202,98,en,4
133,48,3529,803285,98,en,4
133,48,2881,802991,98,en,4
133,48,3031,803047,98,en,4
133,48,3339,803187,98,en,4
133,48,3691,803315,98,en,4
133,48,3266,803125,98,en,4
133,48,3394,803207,98,en,4
133,48,3732,803331,98,en,4
133,48,3612,803282,98,en,4
133,48,3790,803344,98,en,4
133,48,2888,802992,98,en,4
133,48,3773,803341,98,en,4
133,48,3450,803221,98,en,4
133,48,3226,803117,98,en,4
133,48,3002,803033,98,en,4
133,48,3783,803343,98,en,4
133,48,3726,803326,98,en,4
133,48,3248,803123,98,en,4
133,48,3815,803375,98,en,4
133,48,2973,803027,98,en,4
133,48,3645,803304,98,en,4
133,48,3659,803357,98,en,4
133,48,2972,803059,98,en,4
133,48,3228,803118,98,en,4
133,48,3819,803353,98,en,4
133,48,3852,803378,98,en,4
133,48,3778,803369,98,en,4
133,48,3408,803212,98,en,4
133,48,3316,803183,98,en,4
133,48,3770,803346,98,en,4
133,48,3791,803350,98,en,4
133,48,2987,803061,98,en,4
133,48,3581,803290,98,en,4
133,48,2973,803035,98,en,4
133,48,3311,803166,98,en,4
133,48,3357,803192,98,en,4
133,48,3180,803105,98,en,4
133,48,3355,803258,98,en,4
133,48,3534,803284,98,en,4
133,48,2918,803002,98,en,4
133,48,3322,803142,98,en,4
133,48,3484,803228,98,en,4
133,48,3495,803250,98,en,4
133,48,3159,803101,98,en,4
